EmployeeID,Name,Department,Role,Location,ExperienceYears,Age,JobLevel,PerformanceRating,Salary,SalaryBand,Bonus,BenefitsEstimate,JoiningDate,Gender,ManagerID
43,Employee_00043,Engineering,Software Engineer,Mumbai,5,27,L4,3,828839,D,41441,99460,11-02-2008,Other,51
44,Employee_00044,Engineering,Frontend Engineer,Pune,6,31,L5,4,2074242,B,207424,248909,28-09-2010,Male,105
45,Employee_00045,Engineering,Data Scientist,Chennai,6,34,L5,5,1228828,C,221189,147459,30-06-2014,Male,400
46,Employee_00046,Engineering,Tech Lead,Hyderabad,8,30,L6,4,1614329,C,161432,193719,08-05-2010,Female,896
47,Employee_00047,Engineering,Fullstack Engineer,Pune,5,31,L3,3,787859,D,39392,94543,20-04-2025,Female,258
48,Employee_00048,Engineering,Fullstack Engineer,Chennai,3,25,L2,4,564279,E,56427,67713,24-11-2017,Male,4
49,Employee_00049,Finance,Senior Financial Analyst,Mumbai,8,30,L6,4,3080976,A,308097,369717,19-10-2017,Female,860
50,Employee_00050,Engineering,Data Scientist,Noida,3,27,L4,2,1104656,C,22093,132558,02-02-2013,Male,818
51,Employee_00051,Engineering,Backend Engineer,Chennai,7,32,L7,4,1436644,C,143664,172397,21-05-2016,Other,646
52,Employee_00052,Engineering,Software Engineer,Pune,2,24,L3,4,791202,D,79120,94944,05-09-2013,Female,656
53,Employee_00053,Engineering,Tech Lead,Noida,8,43,L5,5,1595671,C,287220,191480,08-07-2006,Female,154
54,Employee_00054,HR,HR Manager,Noida,10,35,L7,4,1194779,C,119477,143373,22-04-2022,Other,
55,Employee_00055,Finance,Accountant,Hyderabad,5,28,L3,4,571171,E,57117,68540,05-08-2012,Other,549
56,Employee_00056,Finance,Senior Financial Analyst,Noida,14,36,L10,2,1804900,B,36098,216588,26-09-2015,Other,224
57,Employee_00057,Engineering,Data Scientist,Hyderabad,5,32,L3,3,955142,D,47757,114617,08-04-2015,Male,241
58,Employee_00058,Finance,Accountant,Hyderabad,5,31,L3,4,551571,E,55157,66188,13-11-2024,Male,1109
59,Employee_00059,Engineering,DevOps Engineer,Mumbai,6,28,L5,4,1221515,C,122151,146581,16-04-2023,Other,296
60,Employee_00060,Engineering,Frontend Engineer,Mumbai,0,24,L1,4,397058,E,39705,47646,15-04-2009,Female,509
61,Employee_00061,HR,Talent Acquisition Specialist,Bangalore,5,28,L5,4,760398,D,76039,91247,17-10-2007,Female,631
62,Employee_00062,Finance,Finance Manager,Pune,3,25,L4,3,992005,D,49600,119040,03-09-2013,Female,381
63,Employee_00063,Engineering,Data Scientist,Pune,11,36,L10,4,1899130,B,189913,227895,19-11-2022,Other,
64,Employee_00064,Finance,Accountant,Bangalore,13,40,L10,3,1328451,C,66422,159414,07-07-2018,Male,
65,Employee_00065,HR,Learning & Development Specialist,Mumbai,11,33,L9,4,1155505,C,115550,138660,10-05-2012,Other,
66,Employee_00066,Finance,Accountant,Mumbai,4,27,L4,3,470699,E,23534,56483,23-07-2014,Male,413
67,Employee_00067,Engineering,Frontend Engineer,Mumbai,5,27,L4,2,1030592,C,20611,123671,07-07-2024,Female,257
68,Employee_00068,Engineering,Fullstack Engineer,Pune,5,29,L4,2,1015301,C,20306,121836,02-10-2022,Male,832
69,Employee_00069,Engineering,Senior Software Engineer,Noida,9,33,L7,4,1571480,C,157148,188577,05-07-2016,Other,
70,Employee_00070,Engineering,Data Scientist,Bangalore,7,29,L5,3,1255584,C,62779,150670,17-03-2020,Female,659
71,Employee_00071,Engineering,Software Engineer,Hyderabad,6,31,L3,2,876881,D,17537,105225,22-06-2019,Female,899
72,Employee_00072,HR,Talent Acquisition Specialist,Pune,13,35,L7,4,907858,D,90785,108942,25-03-2020,Female,25
73,Employee_00073,HR,Talent Acquisition Specialist,Mumbai,8,30,L6,3,803351,D,40167,96402,15-11-2017,Male,1187
74,Employee_00074,Engineering,Backend Engineer,Mumbai,4,30,L4,3,928561,D,46428,111427,03-04-2011,Male,971
75,Employee_00075,Finance,Financial Analyst,Bangalore,10,34,L7,4,1155028,C,115502,138603,12-08-2016,Female,
76,Employee_00076,Engineering,Backend Engineer,Bangalore,4,26,L4,4,959783,D,95978,115173,16-10-2020,Female,258
77,Employee_00077,HR,HR Manager,Chennai,7,31,L6,3,1222213,C,61110,146665,07-01-2016,Male,110
78,Employee_00078,Engineering,Senior Software Engineer,Hyderabad,8,31,L5,4,1332586,C,133258,159910,26-02-2025,Other,531
79,Employee_00079,Engineering,Frontend Engineer,Bangalore,8,34,L7,4,1454438,C,145443,174532,03-03-2012,Other,664
80,Employee_00080,Engineering,DevOps Engineer,Noida,8,31,L5,3,1075933,C,53796,129111,07-07-2011,Female,586
81,Employee_00081,Engineering,Data Scientist,Noida,6,31,L5,5,1184543,C,213217,142145,22-04-2019,Male,414
82,Employee_00082,Engineering,DevOps Engineer,Chennai,3,25,L2,4,692648,D,69264,83117,05-07-2009,Male,154
83,Employee_00083,Engineering,ML Engineer,Pune,8,33,L5,3,1249021,C,62451,149882,02-11-2017,Female,834
84,Employee_00084,HR,HRBP,Chennai,7,29,L5,3,798009,D,39900,95761,08-12-2006,Male,1181
85,Employee_00085,Engineering,Tech Lead,Pune,4,27,L5,3,1583034,C,79151,189964,16-10-2016,Female,718
86,Employee_00086,Engineering,Data Engineer,Chennai,4,28,L3,3,769597,D,38479,92351,11-02-2012,Other,388
87,Employee_00087,HR,HR Executive,Pune,6,30,L4,2,504154,E,10083,60498,23-09-2012,Male,301
88,Employee_00088,Engineering,Backend Engineer,Noida,4,27,L5,5,1074872,C,193476,128984,24-11-2007,Female,807
89,Employee_00089,Engineering,Backend Engineer,Bangalore,9,32,L5,3,1048479,C,52423,125817,28-10-2011,Male,750
90,Employee_00090,Engineering,Data Scientist,Mumbai,6,29,L5,3,1275817,C,63790,153098,21-08-2016,Female,1183
91,Employee_00091,Engineering,Senior Software Engineer,Mumbai,8,36,L5,4,1341300,C,134130,160956,10-05-2017,Female,448
92,Employee_00092,Finance,Senior Financial Analyst,Noida,9,31,L6,4,1287927,C,128792,154551,05-02-2007,Other,148
93,Employee_00093,Finance,Senior Financial Analyst,Chennai,7,29,L7,4,1391960,C,139196,167035,11-10-2019,Other,915
94,Employee_00094,Engineering,Fullstack Engineer,Mumbai,10,36,L7,3,1522254,C,76112,182670,17-05-2024,Male,40
95,Employee_00095,Engineering,Senior Software Engineer,Bangalore,9,33,L7,3,1825184,B,91259,219022,09-12-2010,Other,
96,Employee_00096,Engineering,ML Engineer,Chennai,3,25,L3,3,780089,D,39004,93610,06-09-2005,Female,454
97,Employee_00097,HR,Learning & Development Specialist,Mumbai,5,29,L5,5,747340,D,134521,89680,01-11-2015,Male,1122
98,Employee_00098,Engineering,Data Engineer,Mumbai,9,31,L6,4,1128127,C,112812,135375,06-05-2006,Male,157
99,Employee_00099,HR,HRBP,Pune,3,32,L3,3,614355,D,30717,73722,18-08-2012,Other,203
100,Employee_00100,HR,HR Manager,Mumbai,2,30,L4,5,910837,D,163950,109300,22-04-2024,Female,964
101,Employee_00101,Engineering,Data Engineer,Hyderabad,1,23,L2,4,600419,D,60041,72050,20-05-2007,Female,930
102,Employee_00102,Finance,Senior Financial Analyst,Pune,6,31,L3,3,824591,D,41229,98950,24-07-2010,Male,381
103,Employee_00103,Finance,Financial Analyst,Bangalore,7,32,L6,2,1026929,C,20538,123231,20-05-2024,Other,121
104,Employee_00104,Engineering,Data Engineer,Hyderabad,1,28,L1,3,476585,E,23829,57190,16-12-2017,Other,414
105,Employee_00105,Engineering,DevOps Engineer,Hyderabad,11,35,L8,4,1594343,C,159434,191321,18-07-2016,Female,
106,Employee_00106,Finance,Finance Manager,Mumbai,13,42,L10,4,1730083,C,173008,207609,27-10-2013,Other,
107,Employee_00107,Engineering,Frontend Engineer,Hyderabad,8,36,L5,4,972807,D,97280,116736,03-02-2006,Male,375
108,Employee_00108,Engineering,Tech Lead,Pune,9,31,L7,2,1755340,C,35106,210640,04-09-2019,Other,874
109,Employee_00109,Engineering,Frontend Engineer,Mumbai,5,31,L5,4,2320184,B,232018,278422,03-01-2008,Female,531
110,Employee_00110,HR,Talent Acquisition Specialist,Pune,12,34,L9,3,983730,D,49186,118047,24-02-2006,Other,
111,Employee_00111,HR,Learning & Development Specialist,Hyderabad,8,31,L6,3,654605,D,32730,78552,26-08-2006,Female,804
112,Employee_00112,Engineering,Backend Engineer,Pune,2,28,L4,3,929327,D,46466,111519,24-12-2018,Other,284
113,Employee_00113,Engineering,Fullstack Engineer,Bangalore,4,26,L3,4,744986,D,74498,89398,01-11-2013,Female,157
114,Employee_00114,Engineering,DevOps Engineer,Chennai,3,28,L3,3,707580,D,35379,84909,19-06-2009,Other,718
115,Employee_00115,HR,Learning & Development Specialist,Pune,7,29,L7,2,875709,D,17514,105085,15-11-2005,Male,
116,Employee_00116,HR,Talent Acquisition Specialist,Pune,13,37,L10,4,1164022,C,116402,139682,12-01-2025,Other,
117,Employee_00117,Engineering,Data Scientist,Mumbai,6,29,L5,4,1299133,C,129913,155895,25-10-2013,Other,375
118,Employee_00118,Finance,Accountant,Chennai,5,27,L4,1,707996,D,0,84959,07-06-2016,Other,762
119,Employee_00119,Finance,Finance Manager,Noida,2,30,L4,3,1161597,C,58079,139391,19-04-2023,Male,413
120,Employee_00120,Engineering,DevOps Engineer,Mumbai,8,32,L7,5,1596310,C,287335,191557,06-05-2014,Other,
121,Employee_00121,Finance,Accountant,Noida,7,29,L7,4,961485,D,96148,115378,22-05-2018,Female,123
122,Employee_00122,Engineering,Tech Lead,Noida,4,26,L5,3,1498275,C,74913,179793,07-03-2021,Male,251
123,Employee_00123,Finance,Billing Specialist,Pune,12,38,L8,5,1209363,C,217685,145123,05-03-2021,Other,
124,Employee_00124,Engineering,Data Engineer,Hyderabad,6,28,L5,4,1171849,C,117184,140621,04-11-2017,Other,17
125,Employee_00125,Engineering,Senior Software Engineer,Hyderabad,3,26,L2,2,829951,D,16599,99594,24-05-2014,Male,1086
126,Employee_00126,Engineering,Data Engineer,Noida,9,38,L5,4,938115,D,93811,112573,20-05-2022,Other,879
127,Employee_00127,Engineering,Frontend Engineer,Noida,4,26,L5,3,1002609,C,50130,120313,06-02-2008,Other,902
128,Employee_00128,HR,HR Manager,Chennai,7,29,L6,3,1141636,C,57081,136996,24-09-2015,Other,261
129,Employee_00129,HR,HRBP,Mumbai,6,28,L3,4,473859,E,47385,56863,16-12-2016,Female,380
130,Employee_00130,HR,Learning & Development Specialist,Mumbai,9,31,L7,4,927946,D,92794,111353,03-03-2021,Other,54
131,Employee_00131,Engineering,Tech Lead,Chennai,1,26,L2,4,1046991,C,104699,125638,13-07-2010,Female,996
132,Employee_00132,Engineering,Backend Engineer,Mumbai,4,26,L3,4,619797,D,61979,74375,05-09-2011,Female,251
133,Employee_00133,HR,HR Manager,Noida,8,30,L7,2,1271087,C,25421,152530,06-10-2015,Female,566
134,Employee_00134,HR,Learning & Development Specialist,Noida,7,29,L6,4,767854,D,76785,92142,11-11-2017,Other,1135
135,Employee_00135,Engineering,Backend Engineer,Pune,3,25,L3,3,830503,D,41525,99660,04-05-2022,Male,448
136,Employee_00136,Engineering,Tech Lead,Bangalore,9,31,L6,5,1742384,C,313629,209086,10-10-2006,Female,417
137,Employee_00137,Engineering,Frontend Engineer,Noida,0,22,L2,3,646165,D,32308,77539,19-10-2009,Male,403
138,Employee_00138,Finance,Billing Specialist,Mumbai,8,30,L7,3,1096927,C,54846,131631,30-01-2008,Male,361
139,Employee_00139,Finance,Billing Specialist,Noida,11,35,L8,3,1237008,C,61850,148440,10-01-2020,Other,
140,Employee_00140,Engineering,ML Engineer,Noida,5,27,L3,3,981556,D,49077,117786,09-04-2014,Female,550
141,Employee_00141,Engineering,Frontend Engineer,Bangalore,7,37,L7,3,1419689,C,70984,170362,12-02-2005,Other,
142,Employee_00142,Engineering,Data Scientist,Pune,10,32,L7,3,1386951,C,69347,166434,13-09-2024,Female,
143,Employee_00143,Engineering,Frontend Engineer,Noida,0,22,L1,5,451473,E,81265,54176,12-06-2011,Female,257
144,Employee_00144,HR,Talent Acquisition Specialist,Noida,8,31,L5,2,786352,D,15727,94362,03-01-2007,Other,825
145,Employee_00145,Engineering,Fullstack Engineer,Hyderabad,7,33,L7,5,1231714,C,221708,147805,27-01-2024,Male,
146,Employee_00146,Engineering,Data Scientist,Pune,7,29,L5,5,1300622,C,234111,156074,25-10-2005,Female,417
147,Employee_00147,Engineering,Frontend Engineer,Hyderabad,7,31,L7,3,1313252,C,65662,157590,30-06-2011,Male,
148,Employee_00148,Finance,Financial Analyst,Mumbai,9,31,L7,3,1095725,C,54786,131487,07-07-2012,Female,
149,Employee_00149,Engineering,Frontend Engineer,Noida,7,32,L7,3,1433003,C,71650,171960,11-12-2024,Male,
150,Employee_00150,Engineering,Backend Engineer,Pune,5,27,L4,4,864457,D,86445,103734,12-07-2007,Female,586
151,Employee_00151,HR,HR Manager,Noida,9,31,L6,5,1189568,C,214122,142748,12-02-2021,Male,964
152,Employee_00152,Finance,Financial Analyst,Noida,8,37,L6,2,908097,D,18161,108971,26-09-2017,Other,860
153,Employee_00153,Engineering,ML Engineer,Hyderabad,1,29,L2,3,852349,D,42617,102281,23-07-2016,Female,403
154,Employee_00154,Engineering,Senior Software Engineer,Pune,7,29,L7,4,1845660,B,184566,221479,26-02-2008,Female,
155,Employee_00155,Engineering,DevOps Engineer,Hyderabad,6,32,L3,4,788480,D,78848,94617,14-04-2010,Female,829
156,Employee_00156,Engineering,Tech Lead,Mumbai,4,29,L4,5,1550561,C,279100,186067,07-11-2017,Male,282
157,Employee_00157,Engineering,Tech Lead,Noida,11,33,L9,3,2070832,B,103541,248499,24-05-2006,Other,550
158,Employee_00158,Engineering,Senior Software Engineer,Pune,6,33,L4,5,1064603,C,191628,127752,22-05-2020,Other,487
159,Employee_00159,Engineering,Tech Lead,Noida,6,28,L3,2,1169032,C,23380,140283,14-08-2011,Female,899
160,Employee_00160,Engineering,Fullstack Engineer,Hyderabad,8,32,L5,2,946804,D,18936,113616,23-09-2015,Male,509
161,Employee_00161,Engineering,Frontend Engineer,Noida,5,34,L5,2,1029233,C,20584,123507,29-09-2020,Other,718
162,Employee_00162,Finance,Finance Manager,Chennai,6,29,L5,3,934250,D,46712,112110,02-02-2022,Male,280
163,Employee_00163,Engineering,Fullstack Engineer,Bangalore,5,31,L5,5,1197916,C,215624,143749,14-10-2020,Female,926
164,Employee_00164,HR,HR Executive,Chennai,6,28,L3,4,725868,D,72586,87104,14-04-2017,Other,653
165,Employee_00165,HR,HR Manager,Chennai,7,30,L7,3,1235846,C,61792,148301,11-05-2012,Other,
166,Employee_00166,Engineering,Frontend Engineer,Bangalore,4,26,L5,3,1047380,C,52369,125685,30-01-2018,Female,154
167,Employee_00167,Engineering,Senior Software Engineer,Chennai,4,28,L4,5,1179602,C,212328,141552,04-03-2015,Male,13
168,Employee_00168,Finance,Billing Specialist,Pune,0,27,L2,2,589686,E,11793,70762,14-07-2017,Female,106
169,Employee_00169,Engineering,Tech Lead,Noida,5,27,L3,3,1137400,C,56870,136488,25-04-2023,Male,959
170,Employee_00170,Engineering,ML Engineer,Chennai,3,32,L2,5,874854,D,157473,104982,23-09-2012,Other,258
171,Employee_00171,HR,HR Executive,Chennai,9,31,L5,4,678039,D,67803,81364,20-07-2006,Female,1055
172,Employee_00172,Engineering,Software Engineer,Mumbai,2,28,L3,3,730774,D,36538,87692,15-01-2008,Other,660
173,Employee_00173,Engineering,Data Engineer,Mumbai,8,33,L6,5,1171123,C,210802,140534,28-07-2025,Female,808
174,Employee_00174,Finance,Finance Manager,Bangalore,4,29,L5,3,1197448,C,59872,143693,13-08-2024,Other,430
175,Employee_00175,HR,HR Manager,Noida,8,30,L6,3,1193922,C,59696,143270,19-01-2017,Female,221
176,Employee_00176,Engineering,Backend Engineer,Hyderabad,4,31,L5,2,993653,D,19873,119238,22-09-2023,Male,423
177,Employee_00177,Engineering,Software Engineer,Mumbai,1,26,L2,5,497566,E,89561,59707,19-03-2017,Female,799
178,Employee_00178,Engineering,Backend Engineer,Pune,0,29,L1,3,466881,E,23344,56025,06-10-2012,Male,848
179,Employee_00179,Engineering,Tech Lead,Hyderabad,4,29,L5,4,1546990,C,154699,185638,21-09-2005,Other,520
180,Employee_00180,Engineering,Data Engineer,Chennai,6,30,L3,3,720912,D,36045,86509,06-07-2006,Male,145
181,Employee_00181,Finance,Billing Specialist,Bangalore,8,30,L6,4,862146,D,86214,103457,10-10-2020,Male,536
182,Employee_00182,Finance,Senior Financial Analyst,Noida,8,31,L5,4,1151474,C,115147,138176,04-04-2010,Other,536
183,Employee_00183,HR,HR Manager,Bangalore,5,27,L3,3,835667,D,41783,100280,28-06-2011,Male,221
184,Employee_00184,Engineering,Fullstack Engineer,Mumbai,7,29,L7,4,1432332,C,143233,171879,01-02-2020,Female,120
185,Employee_00185,Engineering,ML Engineer,Mumbai,7,33,L5,4,1383237,C,138323,165988,10-09-2016,Male,105
186,Employee_00186,Engineering,Data Engineer,Mumbai,0,22,L2,4,550015,E,55001,66001,09-04-2018,Other,668
187,Employee_00187,HR,HR Manager,Noida,9,31,L7,3,1234941,C,61747,148192,13-02-2016,Male,
188,Employee_00188,Engineering,DevOps Engineer,Noida,4,26,L5,2,976142,D,19522,117137,06-10-2016,Female,487
189,Employee_00189,Engineering,Data Engineer,Pune,3,30,L2,5,524049,E,94328,62885,15-02-2009,Other,959
190,Employee_00190,Engineering,Frontend Engineer,Hyderabad,7,31,L5,4,981332,D,98133,117759,14-11-2020,Male,704
191,Employee_00191,Engineering,Frontend Engineer,Bangalore,4,28,L5,3,1254806,C,62740,150576,06-05-2014,Other,94
192,Employee_00192,Engineering,Backend Engineer,Hyderabad,9,31,L6,5,1197201,C,215496,143664,24-07-2009,Female,10
193,Employee_00193,Engineering,Senior Software Engineer,Pune,4,33,L4,3,1256620,C,62831,150794,02-04-2021,Male,518
194,Employee_00194,HR,HR Executive,Mumbai,9,35,L6,2,869744,D,17394,104369,11-07-2018,Male,1196
195,Employee_00195,Engineering,Senior Software Engineer,Hyderabad,4,27,L5,4,1344046,C,134404,161285,15-07-2017,Male,1008
196,Employee_00196,HR,HRBP,Hyderabad,8,30,L6,4,850415,D,85041,102049,22-05-2025,Male,645
197,Employee_00197,Engineering,ML Engineer,Hyderabad,8,35,L7,4,1616713,C,161671,194005,02-12-2021,Female,
198,Employee_00198,Engineering,ML Engineer,Noida,6,28,L5,4,1284369,C,128436,154124,24-11-2013,Male,637
199,Employee_00199,HR,Learning & Development Specialist,Mumbai,8,30,L6,4,733516,D,73351,88021,20-12-2016,Other,486
200,Employee_00200,HR,Talent Acquisition Specialist,Mumbai,7,33,L6,4,822265,D,82226,98671,19-10-2024,Female,733
201,Employee_00201,HR,HRBP,Bangalore,10,32,L7,3,927689,D,46384,111322,02-11-2023,Female,
202,Employee_00202,HR,HR Manager,Mumbai,6,29,L4,3,937770,D,46888,112532,14-08-2017,Male,968
203,Employee_00203,HR,HR Manager,Bangalore,11,33,L9,3,1405051,C,70252,168606,06-02-2018,Other,
204,Employee_00204,Engineering,Data Engineer,Mumbai,10,34,L5,2,1132547,C,22650,135905,28-02-2010,Female,808
205,Employee_00205,Engineering,Fullstack Engineer,Hyderabad,7,33,L6,4,1206582,C,120658,144789,12-05-2020,Female,718
206,Employee_00206,Engineering,Tech Lead,Pune,4,32,L5,3,1733911,C,86695,208069,02-01-2016,Female,257
207,Employee_00207,Engineering,Data Scientist,Noida,5,33,L4,3,1226365,C,61318,147163,26-02-2021,Other,1169
208,Employee_00208,Engineering,Frontend Engineer,Hyderabad,5,28,L5,3,942444,D,47122,113093,27-04-2006,Other,79
209,Employee_00209,Engineering,Software Engineer,Bangalore,3,25,L4,4,897226,D,89722,107667,22-02-2005,Female,385
210,Employee_00210,HR,HR Manager,Noida,12,34,L8,3,1398745,C,69937,167849,22-05-2008,Male,
211,Employee_00211,Engineering,ML Engineer,Chennai,6,32,L4,4,1010183,C,101018,121221,10-11-2018,Other,531
212,Employee_00212,Finance,Billing Specialist,Pune,7,32,L7,5,1113133,C,200363,133575,24-02-2005,Other,
213,Employee_00213,Engineering,Backend Engineer,Pune,4,26,L3,3,2119860,B,105993,254383,06-01-2017,Female,375
214,Employee_00214,Engineering,Software Engineer,Chennai,4,31,L5,3,1163640,C,58182,139636,31-01-2023,Male,1006
215,Employee_00215,HR,HR Executive,Bangalore,5,30,L5,4,675823,D,67582,81098,22-04-2009,Other,72
216,Employee_00216,HR,Learning & Development Specialist,Mumbai,8,30,L6,5,943800,D,169884,113256,26-11-2013,Male,355
217,Employee_00217,Engineering,DevOps Engineer,Pune,4,26,L4,4,922869,D,92286,110744,21-08-2020,Male,996
218,Employee_00218,Finance,Accountant,Noida,9,39,L5,3,835845,D,41792,100301,01-04-2024,Other,1045
219,Employee_00219,Engineering,Software Engineer,Bangalore,2,24,L3,5,747350,D,134523,89682,25-05-2017,Female,670
220,Employee_00220,Engineering,Software Engineer,Noida,4,28,L3,5,748687,D,134763,89842,09-11-2006,Female,942
221,Employee_00221,HR,HRBP,Noida,15,37,L9,4,1080845,C,108084,129701,30-03-2024,Male,
222,Employee_00222,Engineering,Backend Engineer,Bangalore,8,37,L5,3,1096714,C,54835,131605,21-06-2024,Other,257
223,Employee_00223,Engineering,Fullstack Engineer,Pune,8,35,L6,4,1265638,C,126563,151876,02-09-2006,Other,157
224,Employee_00224,Finance,Accountant,Chennai,10,37,L7,4,1200572,C,120057,144068,09-01-2009,Female,
225,Employee_00225,Engineering,Software Engineer,Hyderabad,5,29,L5,3,1146520,C,57326,137582,30-05-2023,Other,659
226,Employee_00226,Engineering,Data Engineer,Bangalore,7,29,L6,5,1202299,C,216413,144275,24-05-2010,Other,1099
227,Employee_00227,Engineering,Data Engineer,Noida,7,31,L7,4,1241212,C,124121,148945,12-12-2021,Other,
228,Employee_00228,HR,HR Manager,Noida,9,39,L7,4,1195378,C,119537,143445,20-09-2021,Female,
229,Employee_00229,Engineering,Software Engineer,Bangalore,7,35,L6,4,1192377,C,119237,143085,15-09-2006,Female,531
230,Employee_00230,HR,Learning & Development Specialist,Chennai,9,33,L7,4,884286,D,88428,106114,08-05-2022,Female,
231,Employee_00231,Engineering,Software Engineer,Noida,9,31,L6,3,1210637,C,60531,145276,08-02-2015,Female,250
232,Employee_00232,Engineering,ML Engineer,Mumbai,10,32,L7,4,1505287,C,150528,180634,08-09-2014,Male,
233,Employee_00233,Engineering,Fullstack Engineer,Noida,11,34,L10,5,1755585,C,316005,210670,16-11-2018,Female,
